CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt
77008,6,MOURGERES,Manon,Mme,RN,Rassemblement National,17066,"26,93","17,46",NON,7708,77,11,63,8ème circonscription,1,11,77
77009,3,THIÉBAULT-MARTINEZ,Céline,Mme,UG,Union de la gauche,27726,"53,65","31,59",OUI,7709,77,11,64,9ème circonscription,1,11,77
77009,4,VANACKER,Morgann,M.,RN,Rassemblement National,23958,"46,35","27,30",NON,7709,77,11,64,9ème circonscription,1,11,77
77010,1,LAISNEY,Maxime,M.,UG,Union de la gauche,32280,"69,06","38,88",OUI,7710,77,11,65,10ème circonscription,1,11,77
77010,5,BRACH,Pryscillia,Mme,RN,Rassemblement National,14462,"30,94","17,42",NON,7710,77,11,65,10ème circonscription,1,11,77
78001,1,RODWELL,Charles,M.,ENS,Ensemble ! (Majorité présidentielle),27403,"46,90","32,54",OUI,7801,78,11,67,1ère circonscription,1,11,78
78001,6,RAMAGE,Sébastien,M.,UG,Union de la gauche,16828,"28,80","19,98",NON,7801,78,11,67,1ère circonscription,1,11,78
78001,7,JACQMIN,Anne,Mme,RN,Rassemblement National,14195,"24,30","16,86",NON,7801,78,11,67,1ère circonscription,1,11,78
78002,2,BARROT,Jean-Noël,M.,ENS,Ensemble ! (Majorité présidentielle),43607,"72,69","50,13",OUI,7802,78,11,68,2ème circonscription,1,11,78
78002,6,BRAULT,Gaetan,M.,RN,Rassemblement National,16383,"27,31","18,83",NON,7802,78,11,68,2ème circonscription,1,11,78
78003,1,PIRON,Béatrice,Mme,ENS,Ensemble ! (Majorité présidentielle),38824,"68,75","46,47",OUI,7803,78,11,69,3ème circonscription,1,11,78
78003,7,SALVINO,Valentin,M.,UXD,Union de l'extrême droite,17648,"31,25","21,13",NON,7803,78,11,69,3ème circonscription,1,11,78
78004,1,LEBEC,Marie,Mme,ENS,Ensemble ! (Majorité présidentielle),28306,"50,67","35,00",OUI,7804,78,11,70,4ème circonscription,1,11,78
78004,2,MOURTOUX,Jean-François,M.,UXD,Union de l'extrême droite,12486,"22,35","15,44",NON,7804,78,11,70,4ème circonscription,1,11,78
78004,6,BOURDON,Céline,Mme,UG,Union de la gauche,15066,"26,97","18,63",NON,7804,78,11,70,4ème circonscription,1,11,78
78005,2,BENYETTOU,Yassine,M.,UG,Union de la gauche,14564,"28,16","18,97",NON,7805,78,11,71,5ème circonscription,1,11,78
78005,4,MYARD,Jacques,M.,DVD,Divers droite,11763,"22,74","15,32",NON,7805,78,11,71,5ème circonscription,1,11,78
78005,7,BRAUN-PIVET,Yaël,Mme,ENS,Ensemble ! (Majorité présidentielle),25400,"49,10","33,08",OUI,7805,78,11,71,5ème circonscription,1,11,78
78006,4,SAUGER,Mélinda,Mme,UG,Union de la gauche,14837,"29,18","19,24",NON,7806,78,11,72,6ème circonscription,1,11,78
78006,6,LELANDAIS,Sophie,Mme,RN,Rassemblement National,11693,"22,99","15,16",NON,7806,78,11,72,6ème circonscription,1,11,78
78006,8,POUZYREFF,Natalia,Mme,ENS,Ensemble ! (Majorité présidentielle),24322,"47,83","31,54",OUI,7806,78,11,72,6ème circonscription,1,11,78
78007,2,DE ROZIERES,Babette,Mme,UXD,Union de l'extrême droite,15004,"27,91","18,38",NON,7807,78,11,73,7ème circonscription,1,11,78
78007,4,HAI,Nadia,Mme,ENS,Ensemble ! (Majorité présidentielle),17711,"32,95","21,70",NON,7807,78,11,73,7ème circonscription,1,11,78
78007,7,ROUSSEAU,Aurélien,M.,UG,Union de la gauche,21043,"39,14","25,78",OUI,7807,78,11,73,7ème circonscription,1,11,78
78008,2,NAUTH,Cyril,M.,RN,Rassemblement National,15948,"36,45","21,16",NON,7808,78,11,74,8ème circonscription,1,11,78
78008,7,LUCAS,Benjamin,M.,UG,Union de la gauche,27801,"63,55","36,89",OUI,7808,78,11,74,8ème circonscription,1,11,78
78009,1,MORIN,Laurent,M.,RN,Rassemblement National,26477,"46,03","28,12",NON,7809,78,11,75,9ème circonscription,1,11,78
78009,8,DIOP,Dieynaba,Mme,UG,Union de la gauche,31042,"53,97","32,97",OUI,7809,78,11,75,9ème circonscription,1,11,78
78010,2,BERGÉ,Aurore,Mme,ENS,Ensemble ! (Majorité présidentielle),32048,"49,05","34,64",OUI,7810,78,11,76,10ème circonscription,1,11,78
78010,6,BRIOLAIS,Cédric,M.,UG,Union de la gauche,12255,"18,76","13,25",NON,7810,78,11,76,10ème circonscription,1,11,78
78010,7,DU CHALARD,Thomas,M.,RN,Rassemblement National,21035,"32,19","22,74",NON,7810,78,11,76,10ème circonscription,1,11,78
78011,2,MARTINET,William,M.,UG,Union de la gauche,22035,"49,84","31,19",NON,7811,78,11,77,11ème circonscription,1,11,78
78011,6,MAZAURY,Laurent,M.,UDI,Union des Démocrates et Indépendants,22175,"50,16","31,39",OUI,7811,78,11,77,11ème circonscription,1,11,78
78012,4,MASSIAUX,Christophe,M.,UG,Union de la gauche,15375,"30,86","21,25",NON,7812,78,11,78,12ème circonscription,1,11,78
78012,6,METTELET,Jean-Louis,M.,RN,Rassemblement National,11993,"24,07","16,58",NON,7812,78,11,78,12ème circonscription,1,11,78
78012,7,OLIVE,Karl,M.,ENS,Ensemble ! (Majorité présidentielle),22452,"45,07","31,03",OUI,7812,78,11,78,12ème circonscription,1,11,78
91001,3,BEAUDET,Stéphane,M.,DIV,Divers,11256,"26,92","16,11",NON,9101,91,11,79,1ère circonscription,1,11,91
91001,4,AMRANI,Farida,Mme,UG,Union de la gauche,21311,"50,97","30,51",OUI,9101,91,11,79,1ère circonscription,1,11,91
91001,7,VEGA,Thiebauld,M.,RN,Rassemblement National,9244,"22,11","13,23",NON,9101,91,11,79,1ère circonscription,1,11,91
91002,1,HILLAIRE,Mathieu,M.,UG,Union de la gauche,26193,"47,54","28,18",NON,9102,91,11,80,2ème circonscription,1,11,91
91002,6,DA CONCEICAO CARVALHO,Nathalie,Mme,RN,Rassemblement National,28898,"52,46","31,09",OUI,9102,91,11,80,2ème circonscription,1,11,91
91003,5,MILOSEVIC,Stefan,M.,RN,Rassemblement National,26996,"43,29","27,23",NON,9103,91,11,81,3ème circonscription,1,11,91
91003,7,GUSTAVE,Steevy,M.,UG,Union de la gauche,35365,"56,71","35,67",OUI,9103,91,11,81,3ème circonscription,1,11,91
91004,3,RIXAIN,Marie-Pierre,Mme,ENS,Ensemble ! (Majorité présidentielle),42392,"64,56","42,55",OUI,9104,91,11,82,4ème circonscription,1,11,91
91004,6,CARBRIAND,Jérôme,M.,UXD,Union de l'extrême droite,23266,"35,44","23,35",NON,9104,91,11,82,4ème circonscription,1,11,91
91005,2,LARROUTUROU,Pierre,M.,UG,Union de la gauche,21683,"48,26","31,55",NON,9105,91,11,83,5ème circonscription,1,11,91
91005,8,MIDY,Paul,M.,ENS,Ensemble ! (Majorité présidentielle),23248,"51,74","33,83",OUI,9105,91,11,83,5ème circonscription,1,11,91
91006,1,GUEDJ,Jérôme,M.,UG,Union de la gauche,38991,"74,26","46,78",OUI,9106,91,11,84,6ème circonscription,1,11,91
91006,6,GOUPY,Natacha,Mme,RN,Rassemblement National,13515,"25,74","16,22",NON,9106,91,11,84,6ème circonscription,1,11,91
91007,3,GUIBERT,Audrey,Mme,RN,Rassemblement National,10532,"22,46","14,20",NON,9107,91,11,85,7ème circonscription,1,11,91
91007,5,REDA,Robin,M.,ENS,Ensemble ! (Majorité présidentielle),15581,"33,23","21,00",NON,9107,91,11,85,7ème circonscription,1,11,91
91007,6,LEJEUNE,Claire,Mme,UG,Union de la gauche,20780,"44,31","28,01",OUI,9107,91,11,85,7ème circonscription,1,11,91
91008,2,DUROVRAY,François,M.,DVD,Divers droite,10960,"22,00","14,31",NON,9108,91,11,86,8ème circonscription,1,11,91
91008,4,DUPONT-AIGNAN,Nicolas,M.,DSV,Droite souverainiste,18672,"37,48","24,38",NON,9108,91,11,86,8ème circonscription,1,11,91
91008,5,CERNON,Bérenger,M.,UG,Union de la gauche,20185,"40,52","26,36",OUI,9108,91,11,86,8ème circonscription,1,11,91
91009,2,MERRIEN,Paul-Henri,M.,RN,Rassemblement National,18057,"38,00","22,62",NON,9109,91,11,87,9ème circonscription,1,11,91
91009,5,OZENNE,Julie,Mme,UG,Union de la gauche,29461,"62,00","36,91",OUI,9109,91,11,87,9ème circonscription,1,11,91
91010,2,LÉAUMENT,Antoine,M.,UG,Union de la gauche,22556,"65,16","35,89",OUI,9110,91,11,88,10ème circonscription,1,11,91
91010,10,AMAND,Michael,M.,RN,Rassemblement National,12061,"34,84","19,19",NON,9110,91,11,88,10ème circonscription,1,11,91
92002,2,PASQUINI,Francesca,Mme,UG,Union de la gauche,22264,"45,16","31,05",NON,9202,92,11,90,2ème circonscription,1,11,92
92002,8,LAM,Thomas,M.,LR,Les Républicains,27036,"54,84","37,70",OUI,9202,92,11,90,2ème circonscription,1,11,92
92004,3,SEBAIHI,Sabrina,Mme,UG,Union de la gauche,28034,"57,99","34,57",OUI,9204,92,11,92,4ème circonscription,1,11,92
92004,9,DE CRECY,Isabelle,Mme,ENS,Ensemble ! (Majorité présidentielle),20309,"42,01","25,04",NON,9204,92,11,92,4ème circonscription,1,11,92
92005,1,PITTI,Raphaël,M.,UG,Union de la gauche,21676,"43,95","27,96",NON,9205,92,11,93,5ème circonscription,1,11,92
92005,4,CALVEZ,Céline,Mme,ENS,Ensemble ! (Majorité présidentielle),27642,"56,05","35,66",OUI,9205,92,11,93,5ème circonscription,1,11,92
92006,1,DIDIER,Geoffroy,M.,LR,Les Républicains,17802,"34,90","23,29",NON,9206,92,11,94,6ème circonscription,1,11,92
92006,2,LE GRIP,Constance,Mme,ENS,Ensemble ! (Majorité présidentielle),22960,"45,02","30,03",OUI,9206,92,11,94,6ème circonscription,1,11,92
92006,7,MUSCIANISI,Sihame,Mme,UG,Union de la gauche,10241,"20,08","13,40",NON,9206,92,11,94,6ème circonscription,1,11,92
92008,2,THEVENOT,Prisca,Mme,ENS,Ensemble ! (Majorité présidentielle),27453,"62,44","40,24",OUI,9208,92,11,96,8ème circonscription,1,11,92
92008,5,NICOLAS-CHAVANCE,Salomé,Mme,UG,Union de la gauche,16516,"37,56","24,21",NON,9208,92,11,96,8ème circonscription,1,11,92
92009,4,SÉJOURNÉ,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle),27978,"72,63","44,08",OUI,9209,92,11,97,9ème circonscription,1,11,92
92009,6,RAPILLY-FERNIOT,Pauline,Mme,UG,Union de la gauche,10543,"27,37","16,61",NON,9209,92,11,97,9ème circonscription,1,11,92
92010,7,ATTAL,Gabriel,M.,ENS,Ensemble ! (Majorité présidentielle),29924,"58,23","37,28",OUI,9210,92,11,98,10ème circonscription,1,11,92
