NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCirc,CodDept,CodeReg,CodCirc2
5,LE CUILLIER,Katel,Mme,RN,Rassemblement National,5604,56,53,56004
1,MÉTAYER,Lysiane,Mme,ENS,Ensemble ! (Majorité présidentielle),5605,56,53,56005
2,GIRARD,Damien,M.,UG,Union de la gauche,5605,56,53,56005
4,LE GOFF,Aurélie,Mme,RN,Rassemblement National,5605,56,53,56005
1,JACQUES,Jean-Michel,M.,ENS,Ensemble ! (Majorité présidentielle),5606,56,53,56006
5,GUIHOT-VIEIRA,Nathalie,Mme,RN,Rassemblement National,5606,56,53,56006
1,MESNIER,Thomas,M.,HOR,Horizons,1601,16,75,16001
4,PILATO,René,M.,UG,Union de la gauche,1601,16,75,16001
5,LATUS,Marion,Mme,RN,Rassemblement National,1601,16,75,16001
1,MARTIN,Barthélemy,M.,UXD,Union de l'extrême droite,1602,16,75,16002
7,MARSAUD,Sandra,Mme,ENS,Ensemble ! (Majorité présidentielle),1602,16,75,16002
1,LEBRAUD,Virginie,Mme,UG,Union de la gauche,1603,16,75,16003
4,COLOMBIER,Caroline,Mme,RN,Rassemblement National,1603,16,75,16003
2,CHAUVEAU,Emma,Mme,RN,Rassemblement National,1701,17,75,17001
8,FALORNI,Olivier,M.,DVG,Divers gauche,1701,17,75,17001
2,BERTHOLOM,Karen,Mme,RN,Rassemblement National,1702,17,75,17002
3,BITEAU,Benoît,M.,UG,Union de la gauche,1702,17,75,17002
3,MORIN,Stéphane,M.,RN,Rassemblement National,1703,17,75,17003
5,BARUSSEAU,Fabrice,M.,UG,Union de la gauche,1703,17,75,17003
1,GERARD,Raphaël,M.,ENS,Ensemble ! (Majorité présidentielle),1704,17,75,17004
2,MARKOWSKY,Pascal,M.,RN,Rassemblement National,1704,17,75,17004
1,MONGELOUS,Aymeric,M.,RN,Rassemblement National,1705,17,75,17005
2,PLASSARD,Christophe,M.,HOR,Horizons,1705,17,75,17005
2,DUBOIS,Francis,M.,LR,Les Républicains,1901,19,75,19001
